Evaluacion,Grado10,Grado20,Grado30,Grado40,Grado50,Grado60,Grado70,Grado80,Grado90,Grado100,Grado110,Grado120,Grado130,Grado140,Grado150,Grado160,Grado170,Grado180,Grado190,Grado200,Grado210,Grado220,Grado230,Grado240,Grado250,Grado260,Grado270,Grado280,Grado290,Grado300,Grado310,Grado320,Grado330,Grado340,Grado350,Grado360,Grado370,Grado380,Grado390,Grado400,Grado410,Grado420,Grado430,Grado440,Grado450,Grado460,Grado470,Grado480,Grado490,Grado500,Grado510,Grado520,Grado530,Grado540,Grado550,Grado560,Grado570,Grado580,Grado590,Grado600,Grado610,Grado620,Grado630,Grado640,Grado650,Grado660,Grado670,Grado680,Grado690,Grado700,Grado710,Grado720,Grado730,Grado740,Grado750,Grado760,Grado770,Grado780,Grado790,Grado800,Grado810,Grado820,Grado830,Grado840,Grado850,Grado860,Grado870,Grado880,Grado890,Grado900,Grado910,Grado920,Grado930,Grado940,Grado950,Grado960,Grado970,Grado980,Grado990,Grado1000
1,1200,1300,2900,4000,6900,8600,17400,14300,14500,22200,28100,49000,39700,46200,55500,55700,60300,90900,94600,95600,105500,108700,128300,123900,142800,161800,153700,177200,205800,202100,207900,297600,269800,224300,235700,360000,276900,274900,611500,652600,643200,670600,792300,592500,559700,644100,626600,738500,891500,1.0205e+06,937100,866400,813900,1.2035e+06,927500,1.1267e+06,1.4124e+06,1.2471e+06,1.9478e+06,1.2358e+06,1.3017e+06,1.2659e+06,863500,934100,839200,917500,879500,895200,1.4852e+06,1.7363e+06,1.0512e+06,970200,1.1544e+06,1.0638e+06,1.0222e+06,1.1212e+06,1.2041e+06,1.116e+06,1.2014e+06,1.1385e+06,1.0798e+06,1.2415e+06,1.7725e+06,1.308e+06,1.2727e+06,1.5124e+06,1.266e+06,1.5077e+06,1.5605e+06,1.4621e+06,1.3593e+06,1.521e+06,1.5621e+06,1.7749e+06,2.0965e+06,1.9075e+06,1.597e+06,1.5568e+06,1.8669e+06,1.9518e+06
2,500,900,1800,3000,4500,6300,8600,10900,13700,15900,36300,25600,26700,30700,35200,39600,44800,50000,63600,63700,70400,77300,86800,115000,100300,118000,120600,148600,136400,145300,154700,169900,170600,185300,196200,203300,219300,242900,255600,322800,350900,397400,362900,429300,435100,481600,457300,467700,562600,603900,594300,474600,461200,474300,567100,521700,519900,542500,561600,576200,733300,812200,758100,679100,721700,1.1896e+06,900200,821900,786700,773000,808900,818100,860800,881400,924000,975900,974000,1.0803e+06,1.0695e+06,1.1716e+06,1.0759e+06,1.0906e+06,1.115e+06,1.1504e+06,1.1668e+06,1.1979e+06,1.3122e+06,1.2678e+06,1.326e+06,1.5988e+06,1.3531e+06,1.376e+06,1.4019e+06,1.4077e+06,1.4602e+06,1.4746e+06,1.5314e+06,1.838e+06,1.6595e+06,1.7241e+06
3,300,800,1600,2600,4100,5800,7900,10100,12900,15800,19000,22500,26300,30400,34900,45900,44700,50000,55800,61900,73200,74900,82100,89300,101400,105100,113400,128000,144100,141800,200500,226500,170900,249300,193100,204100,265700,233800,253800,263600,264700,283400,295900,310200,323900,338300,353700,368800,387000,400100,420100,433400,449300,470400,484000,495400,583900,660300,638400,596700,640100,632100,639300,661600,682200,713900,725900,745800,767300,791100,797100,827900,862900,970200,915200,938900,957700,982300,1.0077e+06,1.0344e+06,1.0375e+06,1.0853e+06,1.1117e+06,1.128e+06,1.167e+06,1.3268e+06,1.2569e+06,1.3053e+06,1.2822e+06,1.3119e+06,1.341e+06,1.3772e+06,1.3996e+06,1.4293e+06,1.4769e+06,1.4958e+06,1.6815e+06,1.566e+06,1.7003e+06,1.5941e+06
4,300,800,1600,2700,4100,5800,7900,10200,12900,15800,18900,22400,26300,30400,34900,45100,44600,50100,55800,61900,68400,84400,83200,92300,100200,116000,113600,187300,211700,166100,161000,161200,190600,191000,197900,207500,225200,226900,239100,256300,268800,282000,295800,305400,323900,338500,367800,368500,383700,399700,417700,432600,453100,467900,530300,508000,538100,575100,561400,576200,596100,619200,638800,661600,680200,700900,722400,761000,847700,793900,811000,833900,1.1105e+06,1.1358e+06,940600,942700,954000,984400,988700,1.0336e+06,1.08e+06,1.0858e+06,1.1119e+06,1.1436e+06,1.1554e+06,1.6357e+06,1.2839e+06,1.2502e+06,1.2768e+06,1.3044e+06,1.5152e+06,1.4088e+06,1.3847e+06,1.4369e+06,1.4722e+06,1.494e+06,1.6597e+06,1.5464e+06,1.613e+06,1.6177e+06
5,300,800,5900,2600,4000,5600,7600,10200,12800,15800,19100,32900,26500,30400,42700,39600,44700,50100,55900,63000,69400,80200,87300,112800,108200,105200,113600,122800,141300,147900,154700,169900,170500,183500,206300,203700,221800,238900,250200,284800,264600,285500,299000,314700,319600,338300,353200,368200,384000,401900,416100,432200,453700,650600,575200,519200,521800,542200,561100,577500,600800,622100,638800,659700,680500,701900,722400,744700,767400,788500,817700,840500,886700,857300,908900,975200,959100,980400,1.1289e+06,1.0542e+06,1.0625e+06,1.0866e+06,1.1136e+06,1.1647e+06,1.5507e+06,1.2538e+06,1.279e+06,1.2501e+06,1.2557e+06,1.2925e+06,1.3305e+06,1.3635e+06,1.3788e+06,1.4222e+06,1.5031e+06,1.607e+06,1.6762e+06,1.5522e+06,1.5718e+06,1.6057e+06
6,300,700,2000,2700,4100,5900,8500,10500,13200,24000,19000,22400,26300,30500,34900,39600,44600,55600,55800,69500,68500,86800,90600,89700,97100,110700,113500,148200,142900,144700,154600,160200,174700,181100,197300,203400,221600,230900,239100,251700,268700,281900,295500,309400,325700,338100,353000,368900,385000,399900,416000,436100,470700,502900,595800,517100,535500,538200,568100,582100,599200,618800,636200,660300,680200,701100,723800,747700,766000,788700,896000,935700,958800,884800,885100,934600,957600,980100,1.0042e+06,1.0158e+06,1.0599e+06,1.0866e+06,1.0909e+06,1.2125e+06,1.1854e+06,1.2107e+06,1.2219e+06,1.2851e+06,1.2791e+06,1.308e+06,1.3337e+06,1.342e+06,1.3987e+06,1.4285e+06,1.4999e+06,1.6783e+06,1.5131e+06,1.545e+06,1.5769e+06,1.6082e+06
7,300,700,1500,2700,4000,5700,7900,10200,12800,15700,18900,22400,26300,35400,35900,41000,52400,50200,56200,62200,68500,83500,101100,90000,100200,108600,122500,126100,131500,145100,150400,164400,171600,194000,202400,203700,219400,231300,239500,258100,269000,282300,296900,305600,319900,334200,349100,376800,385100,407200,418400,432500,454600,468200,489400,503200,523600,538200,560100,577600,599600,620400,639600,661100,679800,700600,740100,745100,767000,793400,822300,924000,860100,902200,912500,933600,955100,983500,1.0097e+06,1.0464e+06,1.061e+06,1.086e+06,1.1001e+06,1.1479e+06,1.2086e+06,1.1951e+06,1.2222e+06,1.2534e+06,1.2786e+06,1.2904e+06,1.3378e+06,1.3705e+06,1.3729e+06,1.4325e+06,1.4644e+06,1.5025e+06,1.5079e+06,1.5341e+06,1.5779e+06,3.4065e+06
8,300,700,1500,2700,4100,5900,7900,10300,12900,15800,19100,22500,26300,30600,34900,49400,46400,62000,58100,64000,71300,77300,91100,89500,97200,109700,113500,122200,135400,140600,154300,160200,174600,181200,196200,207400,215000,263600,245200,251800,264700,288500,307000,319000,333400,338200,353300,368500,393800,404600,416500,432800,459500,480200,515900,520400,523200,542000,556700,579900,599200,850900,651700,659300,680000,703700,722300,744000,766200,791900,816400,894100,883400,883700,914800,939000,957600,982900,1.0083e+06,1.0349e+06,1.0613e+06,1.087e+06,1.1135e+06,1.1398e+06,1.1718e+06,1.1938e+06,1.2235e+06,1.2578e+06,1.2832e+06,1.3118e+06,1.3403e+06,1.3455e+06,1.3953e+06,1.4242e+06,1.5149e+06,1.4947e+06,1.5661e+06,1.5572e+06,1.581e+06,1.5984e+06
9,300,800,1600,2700,4100,5700,7800,10500,13100,16000,19300,27000,26800,31100,35400,40300,45400,50700,60600,62500,68800,75700,86800,90000,104700,105700,117000,132700,135200,145500,156000,171800,175700,185700,192100,207500,226900,226900,243500,255800,268700,278100,291500,309500,323900,338200,353100,368200,383800,400000,418300,432200,449300,466300,510400,528500,551200,541900,556900,579900,599000,615100,638400,659800,679900,701100,722300,733500,769700,788500,811000,838500,1.0535e+06,893600,915500,929400,953600,982200,1.0082e+06,1.0119e+06,1.0374e+06,1.0942e+06,1.1139e+06,1.1437e+06,1.183e+06,1.2319e+06,1.2353e+06,1.2502e+06,1.2738e+06,1.3047e+06,1.3204e+06,1.3705e+06,1.3885e+06,1.4291e+06,1.4914e+06,1.509e+06,1.5273e+06,1.542e+06,1.5766e+06,1.602e+06
10,400,800,1500,2700,4100,9900,7700,10200,12900,15800,19000,22500,26300,30500,34900,44100,44700,50200,55900,61900,72600,75100,82100,98000,115400,106100,135400,129900,145900,159800,177100,160100,175100,181200,196300,203500,215000,231000,249800,251800,279000,278100,298900,329300,341600,338300,353200,368300,383800,403600,416100,432700,452000,481100,489300,501600,569500,539400,557500,579700,595200,615600,638800,660200,679600,701100,723400,744200,749300,823300,813300,838500,860000,892500,930700,935200,953800,978200,1.0072e+06,1.0333e+06,1.061e+06,1.0858e+06,1.1431e+06,1.1437e+06,1.1665e+06,1.198e+06,1.2174e+06,1.2577e+06,1.2831e+06,1.3135e+06,1.3399e+06,1.3452e+06,1.4106e+06,1.4317e+06,1.433e+06,1.4861e+06,1.6366e+06,1.5544e+06,1.5692e+06,1.594e+06
11,200,700,1500,2700,4100,10600,8100,10400,13100,16200,19700,23500,27400,30800,35200,46400,45000,50400,56300,62300,72900,75500,82600,89900,101900,105600,114000,122700,131700,145200,150700,165100,171000,185700,206600,208300,221500,238400,243800,251800,270700,282100,296300,309500,324100,339700,353300,368500,384400,400900,420000,433700,457500,536100,497900,516900,523400,538400,560900,579700,616500,619300,639100,659600,680300,701800,723300,773600,766300,792400,811200,834300,860800,889300,910200,933100,962300,986900,1.0078e+06,1.0347e+06,1.1402e+06,1.1523e+06,1.1132e+06,1.1386e+06,1.1465e+06,1.1972e+06,1.2026e+06,1.2538e+06,1.3984e+06,1.3081e+06,1.402e+06,1.3709e+06,1.3913e+06,1.4214e+06,1.4356e+06,1.4656e+06,1.5173e+06,1.6331e+06,1.5869e+06,1.6289e+06
12,700,1900,2000,3100,4200,5900,7900,10200,12700,15600,18900,22400,26300,30400,34900,39700,44700,54400,55900,61900,68300,75000,82200,89400,97200,110100,113600,122300,131300,140600,154400,160300,174700,181100,196400,207500,214900,236300,422500,259000,268900,282000,296500,313100,324000,338200,353100,368400,384000,400200,419700,432500,449200,470100,483900,501500,519200,541600,556800,579600,599700,615600,639100,660000,680700,701800,722500,743900,775500,788500,811100,837700,857600,885100,907300,906600,958400,991100,1.0926e+06,1.0347e+06,1.0596e+06,1.0856e+06,1.0953e+06,1.1405e+06,1.1667e+06,1.193e+06,1.2069e+06,1.2502e+06,1.2619e+06,1.4119e+06,1.3778e+06,1.3713e+06,1.4001e+06,1.4294e+06,1.4178e+06,1.4931e+06,1.4838e+06,1.5451e+06,1.6032e+06,1.6293e+06
13,300,800,1600,2700,4200,5900,8000,10500,13100,20400,19300,23000,27000,31100,35700,41700,44800,55700,56000,62000,68400,75100,86500,89500,97300,109900,113700,122300,135300,140600,154500,160300,175200,181300,196300,207600,215100,231900,243800,251900,269100,283600,298300,309600,323800,338500,365000,370200,384000,399800,419600,432600,449200,470000,483900,501600,523200,542200,557000,579900,607800,659000,654500,656800,677200,697400,774300,765000,766800,788800,793800,834000,866300,881100,908900,929100,957300,962800,1.0084e+06,1.0344e+06,1.064e+06,1.1071e+06,1.1185e+06,1.1389e+06,1.1344e+06,1.1909e+06,1.2176e+06,1.2534e+06,1.2752e+06,1.3115e+06,1.3173e+06,1.3478e+06,1.4136e+06,1.4339e+06,1.457e+06,1.4775e+06,1.5076e+06,1.5582e+06,1.5857e+06,1.6232e+06
14,300,800,1600,2800,4100,5900,7900,10200,12900,16700,19100,22700,26300,30800,34900,39600,44700,50200,55900,66800,68400,75100,82100,93600,97200,105300,119600,122300,136600,140500,150400,164600,177200,181200,198700,203500,215000,231200,245100,251800,264700,282300,295800,309400,323700,338300,353100,375200,410900,404500,416000,432900,449100,471400,491800,505500,519600,541800,558300,594700,597800,619000,640800,661800,682500,703000,723600,745900,786900,790900,788000,838600,857600,884800,952500,958800,960900,982800,1.0088e+06,1.0311e+06,1.0295e+06,1.0724e+06,1.116e+06,1.1441e+06,1.1685e+06,1.2032e+06,1.2545e+06,1.2618e+06,1.2858e+06,1.3078e+06,1.3375e+06,1.37e+06,1.3926e+06,1.4301e+06,1.476e+06,1.4988e+06,1.525e+06,1.5535e+06,1.5623e+06,1.6059e+06
